1; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;357;357;357;357;357;357;357
41;30105;33261;36609;38637;41529;44005;48345
43;667;667;667;667;667;427;427
77;6;6;6;6;6;6;6
80;0;0;0;0;0;0;0
81;15768;14293;13890;15355;16683;18615;23931
83;256;264;272;292;312;332;352
100;1460;1880;-780;-1480;-1060;-640;-220
316;33250;34466;12978;2578;-5598;4178;15538
612;52506;4426;6986;8346;-1814;15146;45066
618;53976;7704;16136;1480;-1112;23544;60680
624;32775;15359;17287;14431;6999;11631;17303
3416;0;0;0;0;0;0;0
6412;747;747;747;747;747;747;747
6418;1666;1666;1666;1666;1666;1666;1666
6424;541;541;541;541;541;541;541
 
2; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;0;0;0;0;0;0;0
41;26912;29128;30864;34776;37228;40160;44680
43;0;12;24;36;48;60;72
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;11648;4957;5290;4087;3216;-1191;3094
83;60;56;56;56;56;56;56
100;3780;4760;1540;560;980;1960;2380
316;37488;33424;7184;480;-1552;-1920;6080
612;22920;10600;-10600;16920;800;-1680;12920
618;4992;12216;10080;12312;11640;25936;46064
624;25688;13720;10904;7464;-3928;-1752;376
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;-56;-56;-56;-56;-56;-56;-56
6424;-40;-40;-40;-40;-40;-40;-40
 
3; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;792;792;792;792;792;792;792
41;16098;22390;28618;31354;34146;40050;46954
43;2831;1255;471;-117;-309;291;891
77;28;28;28;28;28;28;28
80;0;0;0;0;0;0;0
81;16310;20757;27172;29765;30716;34589;42271
83;1929;2529;3129;3729;4329;4929;5529
100;2100;2240;2380;2520;3080;3220;3360
316;80146;77938;87346;97842;106834;119970;147330
612;124440;118680;112680;105160;118520;156600;208440
618;93778;121058;150210;172754;211314;257986;322786
624;17448;19428;20992;21672;22768;25320;39780
3416;0;0;0;0;0;0;0
