1; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;357;357;357;357;357;357;357
41;29465;32781;36385;39085;42425;44901;49241
43;667;667;667;427;427;187;187
77;6;6;6;6;6;6;6
80;0;0;0;0;0;0;0
81;15720;15973;16402;18763;21179;22999;28443
83;256;264;272;292;312;332;352
100;1460;1880;-780;-1480;-1060;-640;-220
316;37474;20738;-7086;3106;3378;3122;14482
612;45306;31786;7706;3306;-4934;-454;29466
618;88088;80712;54616;49528;15736;248;35720
624;14887;1423;9799;9855;18439;17663;23335
3416;0;0;0;0;0;0;0
6412;747;747;747;747;747;747;747
6418;1666;1666;1666;1666;1666;1666;1666
6424;541;541;541;541;541;541;541
 
2; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;0;0;0;0;0;0;0
41;25216;20936;20560;22360;23468;24960;29480
43;0;12;24;36;48;60;72
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;12224;3821;4106;3095;1296;-1543;2742
83;60;56;56;56;56;56;56
100;3780;4760;1540;560;980;1960;2380
316;46464;26560;17744;1536;4784;9696;17696
612;51960;26920;16040;17640;-6160;960;7640
618;8944;13256;16528;21880;9144;17616;37744
624;24024;14344;11528;8088;-184;120;2248
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;-56;-56;-56;-56;-56;-56;-56
6424;-40;-40;-40;-40;-40;-40;-40
 
3; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;792;792;792;792;792;792;792
41;16098;23382;31466;37370;42274;48178;55082
43;2435;2251;2655;2067;1875;2475;3075
77;28;28;28;28;28;28;28
80;0;0;0;0;0;0;0
81;15974;20245;26788;29093;30092;33965;41647
83;1929;2525;3073;3673;4273;4873;5473
100;2100;2240;2380;2520;3080;3220;3360
316;65362;56818;57778;58242;83074;96210;123570
612;87720;75000;53160;43720;61160;99240;151080
618;90658;118770;160818;178370;220258;266930;331730
624;28264;30452;38880;40184;41280;43832;58292
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;162;162;162;162;162;162;162
6424;600;600;600;600;600;600;600
 
4; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;2380;2380;2380;2380;2380;2380;2380
41;13928;8084;7188;4256;-456;-2264;664
43;588;390;588;390;588;786;984
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;10455;6708;4519;2115;-1780;462;4075
83;658;498;602;46;282;782;1282
100;420;1380;1380;1380;2340;2340;2340
316;4495;12943;23033;31481;43155;51603;58995
612;4956;396;11916;36636;53676;69036;88236
618;21247;-3401;-6417;1071;-7353;18647;43711
624;2725;2309;4597;5013;8757;12917;15413
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;732;732;732;732;732;732;732
6424;1135;1135;1135;1135;1135;1135;1135
 
5; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;0;0;0;0;0;0;0
41;768;1106;1806;2230;2900;4000;4810
43;132;144;168;192;204;228;240
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;688;1564;2278;2859;3559;5588;6549
83;56;64;80;92;104;112;124
100;3500;3640;3920;3500;3640;3920;4060
316;4224;6624;8896;11196;13196;16168;18268
612;6360;10640;12620;14640;16460;26300;30040
618;7072;12592;17996;24132;30160;45160;52160
624;3744;3996;4556;5108;5768;8268;9868
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;140;140;140;140;140;140;140
6424;55;55;55;55;55;55;55
 
6; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;0;0;0;0;0;0;0
41;1408;2464;3584;4256;5152;6016;6656
43;564;564;564;564;564;564;564
77;25;25;25;25;25;25;25
80;0;0;0;0;0;0;0
81;2067;1966;2201;2153;1783;1546;1517
83;888;1152;1152;1416;1416;1680;1680
100;940;240;660;1080;1500;1920;2340
316;19008;21120;22704;23760;23232;23760;23760
