1;;;;;;;;
;24/05/2020;25/05/2020;26/05/2020;27/05/2020;28/05/2020;29/05/2020;30/05/2020;
21;2212;2212;2212;2212;2212;2212;2212;
41;3640;6778;9916;13054;16192;19330;22468;
43;1906;2206;2506;2806;3106;3406;3706;
77;44;44;44;44;44;44;44;
80;0;0;0;0;0;0;0;
81;6107;8770;11434;14098;16762;19426;22090;
83;10994;11294;11594;11894;12194;12494;12662;
100;3640;4340;4900;5460;6020;6580;7140;
316;67632;77632;87632;97632;107632;117632;127632;
612;32880;56880;80880;104880;128880;152880;176880;
618;56448;81448;106448;131448;156448;181448;206448;
624;24240;33240;42240;51240;60240;69240;78240;
3416;0;0;0;0;0;0;0;
6412;4;4;4;4;4;4;4;
6418;728;728;728;728;728;728;728;
6424;160;160;160;160;160;160;160;

10;;;;;;;;
;24/05/2020;25/05/2020;26/05/2020;27/05/2020;28/05/2020;29/05/2020;30/05/2020;
21;2174;2174;2174;2174;2174;2174;2174;
41;7016;11831;15590;20405;25220;28430;33245;
43;707;845;983;1121;1259;1397;1535;
77;108;108;108;108;108;108;108;
80;0;0;0;0;0;0;0;
81;5502;11184;16342;22024;27962;31465;37151;
83;362;521;680;839;998;1157;1316;
100;1656;2300;2300;2944;2944;3588;3588;
316;34378;48307;62236;76165;85451;99380;113309;
612;128449;154477;180505;206533;223885;249913;275941;
618;65916;107532;149148;190764;218508;260124;301740;
624;26014;35161;44308;53455;59553;64540;73687;
3416;0;0;0;0;0;0;0;
6412;0;0;0;0;0;0;0;
6418;3254;3254;3254;3254;3254;3254;3254;
6424;1762;1762;1762;1762;1762;1762;1762;

11;;;;;;;;
;24/05/2020;25/05/2020;26/05/2020;27/05/2020;28/05/2020;29/05/2020;30/05/2020;
21;0;0;0;0;0;0;0;
41;1281;2450;3619;4673;5571;6467;7519;
43;48;268;448;608;768;908;732;
77;0;0;0;0;0;0;0;
80;0;0;0;0;0;0;0;
81;1025;2056;3143;4447;5751;6939;8128;
83;8;140;250;320;380;440;408;
100;0;0;0;0;0;0;0;
