1; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;357;357;357;357;357;357;357
41;30105;33421;37025;40109;43449;45797;50137
43;667;667;667;271;271;31;31
77;6;6;6;6;6;6;6
80;0;0;0;0;0;0;0
81;12408;10885;10082;9915;12363;14167;19515
83;256;264;272;292;312;68;88
100;1460;1880;-780;-1480;-1060;-640;-220
316;40642;31826;16146;13138;4962;2066;754
612;61386;38026;27626;-1974;-28694;506;34026
618;113048;47640;-20056;-8088;-280;-584;41752
624;20503;11199;5639;703;343;-641;8151
3416;0;0;0;0;0;0;0
6412;747;747;747;747;747;747;747
6418;1666;1666;1666;1666;1666;1666;1666
6424;541;541;541;541;541;541;541
 
2; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;0;0;0;0;0;0;0
41;26944;27848;31760;33976;36684;38560;43080
43;0;12;24;36;48;60;72
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;10848;4893;1706;-697;0;457;4566
83;60;56;56;56;56;56;56
100;3780;4760;1540;560;980;1960;2380
316;48048;36592;26720;12096;1088;192;8192
612;79560;42040;36200;35160;-6400;-3600;7400
618;15808;2648;2592;13144;2696;19696;34624
624;26728;10808;4040;5592;648;1160;168
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;-56;-56;-56;-56;-56;-56;-56
6424;-40;-40;-40;-40;-40;-40;-40
 
3; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;792;792;792;792;792;792;792
41;15554;17846;22250;21562;23490;29394;36298
43;2831;2839;2055;1467;2067;2667;3267
77;28;28;28;28;28;28;28
80;0;0;0;0;0;0;0
81;15398;18693;24564;26325;27132;30957;38639
83;1929;2529;3129;3729;4329;4929;5529
100;2100;2240;2380;2520;3080;3220;3360
316;64306;44146;57250;66690;90466;103602;130962
612;126840;119640;154440;161800;190280;228360;280200
618;70482;121682;170178;202290;239602;286274;351074
624;12248;12148;17664;15640;20272;16584;31044
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;162;162;162;162;162;162;162
6424;600;600;600;600;600;600;600
 
4; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;2380;2380;2380;2380;2380;2380;2380
41;13448;5076;8020;4416;-1032;-1912;1016
43;588;786;984;966;1164;1362;1560
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;15127;14564;15335;16467;17932;20622;24411
83;658;894;734;46;18;518;1018
100;420;1380;1380;1380;2340;2340;2340
316;4495;6607;16697;25673;34707;42627;52659
612;3996;1116;-2004;3756;8556;13836;26556
618;44543;14279;4815;-7665;-8393;8247;34559
624;5013;21;6053;4805;9381;13125;16661
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;732;732;732;732;732;732;732
6424;1135;1135;1135;1135;1135;1135;1135
 
5; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;0;0;0;0;0;0;0
41;768;1106;1806;2230;2900;4000;4810
43;132;144;168;192;204;228;240
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;688;1564;2278;2859;3559;5588;6549
83;56;64;80;92;104;112;124
100;3500;3640;3920;3500;3640;3920;4060
316;4224;6624;8896;11196;13196;16168;18268
612;6360;10640;12620;14640;16460;26300;30040
618;7072;12592;17996;24132;30160;45160;52160
624;3744;3996;4556;5108;5768;8268;9868
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;140;140;140;140;140;140;140
6424;55;55;55;55;55;55;55
 
6; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;0;0;0;0;0;0;0
41;1408;2464;3584;4256;5152;6016;6656
43;564;564;564;564;564;564;564
77;25;25;25;25;25;25;25
80;0;0;0;0;0;0;0
81;2067;1966;2201;2153;1783;1546;1517
83;888;1152;1152;1416;1416;1680;1680
100;940;240;660;1080;1500;1920;2340
316;19008;21120;22704;23760;23232;23760;23760
612;14062;13822;17182;19222;21022;22702;24382
618;24068;22404;20116;22404;22196;29060;34260
624;5490;4242;5490;6114;7362;7362;8818
3416;0;0;0;0;0;0;0
6412;80;80;80;80;80;80;80
6418;428;428;428;428;428;428;428
6424;0;0;0;0;0;0;0
 
7; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;21;21;21;21;21;21;21
41;19714;20894;19610;17526;15666;13406;16314
43;1932;1440;1500;612;120;420;820
77;216;216;216;216;216;216;216
80;0;0;0;0;0;0;0
81;6046;4480;4495;-578;781;-137;3689
83;1858;2258;2526;2926;3326;3726;4126
100;3920;1680;840;1400;1400;2240;3080
316;58144;38264;26224;26328;29072;53544;78544
612;42684;524;1804;-13476;-436;42364;86364
618;51500;59884;36076;28700;11340;57788;121500
624;47076;57748;67332;76084;83796;97588;111588
3416;1511;1511;1511;1511;1511;1511;1511
6412;0;0;0;0;0;0;0
6418;392;392;392;392;392;392;392
6424;0;0;0;0;0;0;0
 
8; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;0;0;0;0;0;0;0
41;412;1116;2044;1788;2716;3516;4444
43;469;469;469;469;469;469;469
77;10;10;10;10;10;10;10
80;0;0;0;0;0;0;0
81;1554;1642;1858;2186;2508;2868;4036
83;916;1048;1048;1180;1180;1180;1180
100;3360;3920;4480;5040;5320;5880;5880
316;19489;23553;28673;33793;36353;41473;41473
612;18201;23241;28521;33801;35721;40281;40281
618;8026;17490;26538;38706;40474;53474;53266
624;7271;8311;9559;10807;11015;12263;11431
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;448;448;448;448;448;448;448
6424;440;440;440;440;440;440;440
 
9; ; ; ; ; ; ; ; 
