1; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;357;357;357;357;357;357;357
41;29433;32749;35649;38861;42201;44677;49017
43;667;667;667;427;427;187;187
77;6;6;6;6;6;6;6
80;0;0;0;0;0;0;0
81;13640;13733;12530;11947;12347;14311;19659
83;256;264;272;292;312;332;352
100;1460;1880;-780;-1480;-1060;-640;-220
316;14770;13346;-12366;-19598;-22494;-17470;-18782
612;56586;42586;15146;-21894;-31814;-13654;19866
618;57096;-14968;-4456;-3512;-24616;-22216;20120
624;24247;3295;-3929;-15313;-11097;-11249;-2457
3416;0;0;0;0;0;0;0
6412;747;747;747;747;747;747;747
6418;1666;1666;1666;1666;1666;1666;1666
6424;541;541;541;541;541;541;541
 
2; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;0;0;0;0;0;0;0
41;27328;29448;32848;35864;38860;41856;46376
43;0;12;24;36;48;60;72
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;10432;2269;-1750;-2345;-3248;-6199;-2042
83;60;56;56;4;4;4;4
100;3780;4760;1540;560;980;1960;2380
316;48048;18640;16688;-1632;-4720;-2976;5024
612;66840;8440;15560;24600;-13840;-19680;-5080
618;10816;-22520;-32976;-20760;-40360;-15664;-736
624;25064;13512;3208;-2728;-12872;-10904;-8776
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;-56;-56;-56;-56;-56;-56;-56
6424;-40;-40;-40;-40;-40;-40;-40
 
3; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;792;792;792;792;792;792;792
41;7586;6038;3530;186;-1790;-1966;3882
43;2039;2047;2451;279;-309;291;891
77;28;28;28;28;28;28;28
80;0;0;0;0;0;0;0
81;15750;20181;26180;27829;28572;32317;39999
83;1929;2529;3129;3729;4329;4929;5529
100;2100;2240;2380;2520;3080;3220;3360
316;57970;61042;76258;85170;110002;123138;150498
612;115320;119880;148440;153880;179960;218040;269880
618;97522;157874;210946;247218;288482;335154;399954
624;24312;33364;47824;48504;56464;59016;73476
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;162;162;162;162;162;162;162
6424;600;600;600;600;600;600;600
 
4; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;2380;2380;2380;2380;2380;2380;2380
41;15048;6932;6740;3904;-232;200;3320
43;588;390;588;570;768;966;1164
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;8391;5668;2663;2835;-1396;-258;3675
83;922;894;734;706;282;650;1150
100;420;1380;1380;1380;2340;2340;2340
316;2911;8719;18809;28841;40515;48963;59523
612;876;-5124;-324;16476;25596;30876;43596
618;26863;17815;-23265;-17233;-38761;-18793;8559
624;229;1685;5845;11045;14789;19781;25813
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;732;732;732;732;732;732;732
6424;1135;1135;1135;1135;1135;1135;1135
 
5; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;0;0;0;0;0;0;0
41;768;1106;1806;2230;2900;4000;4810
43;132;144;168;192;204;228;240
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;688;1564;2278;2859;3559;5588;6549
83;56;64;80;92;104;112;124
100;3500;3640;3920;3500;3640;3920;4060
316;4224;6624;8896;11196;13196;16168;18268
612;6360;10640;12620;14640;16460;26300;30040
618;7072;12592;17996;24132;30160;45160;52160
624;3744;3996;4556;5108;5768;8268;9868
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;140;140;140;140;140;140;140
6424;55;55;55;55;55;55;55
 
6; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;0;0;0;0;0;0;0
41;1408;2464;3584;4256;5152;6016;6656
43;564;564;564;564;564;564;564
77;25;25;25;25;25;25;25
80;0;0;0;0;0;0;0
81;2067;1966;2201;2153;1783;1546;1517
83;888;1152;1152;1416;1416;1680;1680
100;940;240;660;1080;1500;1920;2340
316;19008;21120;22704;23760;23232;23760;23760
612;14062;13822;17182;19222;21022;22702;24382
618;24068;22404;20116;22404;22196;29060;34260
624;5490;4242;5490;6114;7362;7362;8818
3416;0;0;0;0;0;0;0
6412;80;80;80;80;80;80;80
6418;428;428;428;428;428;428;428
6424;0;0;0;0;0;0;0
 
7; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;21;21;21;21;21;21;21
41;22626;25982;30426;35062;38322;40286;45306
43;2724;2232;948;456;-36;264;664
77;216;216;216;216;216;216;216
