1; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;357;357;357;357;357;357;357
41;28793;32109;35617;38957;42297;44773;49113
43;667;667;475;235;235;235;235
77;6;6;6;6;6;6;6
80;0;0;0;0;0;0;0
81;15432;16501;17570;19851;22443;24743;30091
83;256;264;268;288;308;328;348
100;1460;1880;-780;-1480;-1060;-640;-220
316;514;4370;-3918;-1646;738;12098;10786
612;28266;586;4106;-16374;-32534;-2134;31386
618;109720;92568;82072;29976;-26488;-36360;5976
624;16967;-33;-8713;-9489;-8809;-4593;4199
3416;0;0;0;0;0;0;0
6412;747;747;747;747;747;747;747
6418;1666;1666;1666;1666;1666;1666;1666
6424;541;541;541;541;541;541;541
 
2; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;0;0;0;0;0;0;0
41;27328;29992;33264;36920;39916;43040;47560
43;0;12;24;36;48;60;72
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;11824;4045;-214;-1769;-5424;-4279;-122
83;60;56;56;4;4;4;4
100;3780;4760;1540;560;980;1960;2380
316;46464;18640;2960;-10608;-12112;-7200;800
612;86040;17560;10280;18600;-19360;-14160;440
618;15808;-11288;-31104;-30120;-35992;-27312;-12384
624;27144;8936;2376;1016;-8712;-14440;-12312
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;-56;-56;-56;-56;-56;-56;-56
6424;-40;-40;-40;-40;-40;-40;-40
 
3; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;792;792;792;792;792;792;792
41;7426;5782;8202;4346;-1374;658;6506
43;2435;2047;2055;1071;1671;2271;2871
77;28;28;28;28;28;28;28
80;0;0;0;0;0;0;0
81;15702;20181;26484;27797;28172;31869;39551
83;1929;2529;3129;3729;4329;4929;5529
100;2100;2240;2380;2520;3080;3220;3360
316;57970;52594;67810;76722;82018;95154;122514
612;125640;142200;165960;172600;201800;224040;275880
618;97938;158290;213858;250130;292434;339106;403906
624;23480;32324;46784;40392;47104;49656;64116
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;162;162;162;162;162;162;162
6424;600;600;600;600;600;600;600
 
4; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;2380;2380;2380;2380;2380;2380;2380
41;14920;6676;8564;3488;-648;-344;2776
43;588;786;984;390;588;786;984
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;8551;4852;3367;2163;-2036;-3874;59
83;658;630;866;310;414;914;1414
100;420;1380;1380;1380;2340;2340;2340
316;4495;12943;18809;17225;19395;27843;38403
612;15036;-7044;-19044;-29844;-33684;-28404;-23604
