1; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;357;357;357;357;357;357;357
41;28793;32109;35009;38061;41401;43877;48217
43;667;271;79;79;79;79;79
77;6;6;6;6;6;6;6
80;0;0;0;0;0;0;0
81;15928;17173;18258;20427;23627;25431;30779
83;256;264;268;288;308;328;348
100;1460;1880;-780;-1480;-1060;-640;-220
316;21634;-1438;-19230;-19598;-27774;-26974;-28286
612;51546;-3014;11066;-13254;-13334;9866;43386
618;101192;43896;-14648;-44072;-59560;-39688;-4216
624;31735;17855;647;-5537;-1737;-3553;5239
3416;0;0;0;0;0;0;0
6412;747;747;747;747;747;747;747
6418;1666;1666;1666;1666;1666;1666;1666
6424;541;541;541;541;541;541;541
 
2; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;0;0;0;0;0;0;0
41;26944;29608;33744;37656;40652;43776;48296
43;0;12;24;36;48;60;72
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;12656;7197;4986;4375;2000;2505;6614
83;60;56;56;4;4;4;4
100;3780;4760;1540;560;980;1960;2380
316;37488;32896;41504;13152;16928;7056;15056
612;76440;18040;7160;5880;-10960;-10800;-7720
618;12896;-18568;-34432;-31784;-51800;-46864;-31936
624;26728;12888;4872;2056;-9960;-14024;-15016
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;-56;-56;-56;-56;-56;-56;-56
6424;-40;-40;-40;-40;-40;-40;-40
 
3; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;792;792;792;792;792;792;792
41;8066;5974;6314;4026;-62;-398;5450
43;2435;2047;2055;1863;2067;2667;3267
77;28;28;28;28;28;28;28
80;0;0;0;0;0;0;0
81;16310;20741;27188;29109;29772;33469;41151
83;1929;2529;3129;3729;4329;4929;5529
100;2100;2240;2380;2520;3080;3220;3360
316;84898;82690;110050;124242;137458;149010;176370
612;138840;152280;183960;206200;232280;262440;314280
618;104594;163906;219474;256370;297634;344306;409106
624;30760;38772;53232;53704;60416;58392;72852
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;162;162;162;162;162;162;162
6424;600;600;600;600;600;600;600
 
4; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;2380;2380;2380;2380;2380;2380;2380
41;16104;8564;7316;4896;-296;8;3128
43;588;786;744;546;108;306;504
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;6599;3300;1543;-621;-2308;-3330;603
83;658;630;734;178;282;782;1282
100;420;1380;1380;1380;2340;2340;2340
316;4495;10303;18281;27257;37875;41571;52131
612;2796;-7284;-8004;2316;6876;9996;14796
618;18335;-2153;-18481;-36577;-68921;-42921;-15569
624;2309;1893;2309;6677;10421;14581;20613
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;732;732;732;732;732;732;732
6424;1135;1135;1135;1135;1135;1135;1135
 
5; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;0;0;0;0;0;0;0
41;768;1106;1806;2230;2900;4000;4810
43;132;144;168;192;204;228;240
77;0;0;0;0;0;0;0
