1; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;357;357;357;357;357;357;357
41;29433;32749;36257;39309;42649;45125;49465
43;667;667;79;79;79;79;79
77;6;6;6;6;6;6;6
80;0;0;0;0;0;0;0
81;16376;17605;18370;20523;23035;24951;30443
83;256;264;268;288;308;328;348
100;1460;1880;-780;-1480;-1060;-640;-220
316;11074;6482;-10254;-17486;-25134;-28030;-16670
612;52986;19306;-2614;-21174;-28694;-15334;18186
618;104312;72808;32984;45784;44648;23336;58808
624;28407;11615;-7049;-9489;-11721;-11873;-3081
3416;0;0;0;0;0;0;0
6412;747;747;747;747;747;747;747
6418;1666;1666;1666;1666;1666;1666;1666
6424;541;541;541;541;541;541;541
 
2; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;0;0;0;0;0;0;0
41;27328;29992;34128;37400;40396;43520;48040
43;0;12;24;36;48;60;72
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;12752;7565;7322;3703;-2064;-4023;134
83;60;56;56;4;4;4;4
100;3780;4760;1540;560;980;1960;2380
316;46464;30256;18272;8400;-5248;-9840;-1840
612;74760;40120;44600;33480;-17200;-21600;-7000
618;7072;-11080;-23408;-13064;-41816;-26272;-11344
624;26728;7480;-536;-856;-13080;-14440;-12312
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;-56;-56;-56;-56;-56;-56;-56
6424;-40;-40;-40;-40;-40;-40;-40
 
3; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;792;792;792;792;792;792;792
41;9538;10102;12874;14266;9602;9522;16426
43;2435;1651;2451;2043;2643;3243;3843
77;28;28;28;28;28;28;28
80;0;0;0;0;0;0;0
81;16054;20293;26580;28197;28588;32285;39967
83;1929;2529;3129;3729;4329;4929;5529
100;2100;2240;2380;2520;3080;3220;3360
316;57970;58930;86290;94146;107362;120498;147858
612;111240;128520;152280;172120;198680;236760;288600
618;99602;159330;214898;244098;285362;332034;396834
624;29720;38564;53024;56408;63120;65672;80132
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;162;162;162;162;162;162;162
6424;600;600;600;600;600;600;600
 
4; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;2380;2380;2380;2380;2380;2380;2380
41;17000;5940;5748;3328;-808;-2488;632
43;588;390;192;390;348;546;744
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;8343;3892;3175;2323;-1716;-290;3659
83;658;498;734;310;282;782;1282
100;420;1380;1380;1380;2340;2340;2340
316;4495;12943;21449;30425;37875;41571;52131
612;4716;-12084;-16404;-2724;-8484;-5364;7116
618;22495;7415;-8289;-30337;-49369;-29401;-2049
624;2309;-2059;3557;5637;9381;14373;20405
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;732;732;732;732;732;732;732
6424;1135;1135;1135;1135;1135;1135;1135
 
5; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;0;0;0;0;0;0;0
41;768;1106;1806;2230;2900;4000;4810
43;132;144;168;192;204;228;240
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;688;1564;2278;2859;3559;5588;6549
83;56;64;80;92;104;112;124
