1; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;357;357;357;357;357;357;357
41;29465;32621;35969;37933;40633;43109;47449
43;667;667;667;427;427;187;187
77;6;6;6;6;6;6;6
80;0;0;0;0;0;0;0
81;16056;17029;16418;17643;18827;20823;26187
83;256;264;272;292;312;332;352
100;1460;1880;-780;-1480;-1060;-640;-220
316;7906;8066;-3390;-62;-4542;3122;14482
612;37146;40666;10586;13626;-6854;506;26106
618;50232;24760;10936;648;23432;48712;85848
624;32775;14527;10839;4447;9703;8303;17095
3416;0;0;0;0;0;0;0
6412;747;747;747;747;747;747;747
6418;1666;1666;1666;1666;1666;1666;1666
6424;541;541;541;541;541;541;541
 
2; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;0;0;0;0;0;0;0
41;26912;25608;28080;29624;32204;34752;39272
43;0;12;24;36;48;60;72
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;12480;7133;5834;4615;3984;-727;3510
83;60;56;56;56;56;56;56
100;3780;4760;1540;560;980;1960;2380
316;34320;22336;13520;14736;1616;1776;9776
612;42840;22600;24440;28920;-5200;8400;19400
618;416;3688;12784;18760;26408;34880;55008
624;24024;10808;88;4760;1064;1368;376
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;-56;-56;-56;-56;-56;-56;-56
6424;-40;-40;-40;-40;-40;-40;-40
 
3; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;792;792;792;792;792;792;792
41;16002;23446;31786;36634;41538;47442;54346
43;2831;2839;2055;675;483;1083;1683
77;28;28;28;28;28;28;28
80;0;0;0;0;0;0;0
81;16390;20501;26900;29301;30236;34109;41791
83;1929;2529;3129;3729;4329;4929;5529
100;2100;2240;2380;2520;3080;3220;3360
316;70642;65266;63058;78834;103666;116802;144162
612;121560;117960;84600;68200;71480;109560;161400
618;67986;96306;107154;123666;164930;211602;276402
624;21608;32532;39712;47672;48768;51320;65780
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;162;162;162;162;162;162;162
6424;600;600;600;600;600;600;600
 
4; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;2380;2380;2380;2380;2380;2380;2380
41;14088;7188;8308;5952;-2312;-2936;184
43;588;594;792;198;0;198;396
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;10519;5652;5223;2355;-1156;1694;5643
83;922;626;730;438;146;646;1146
100;420;1380;1380;1380;2340;2340;2340
316;2383;10831;20921;30953;42627;51075;61635
612;3036;2556;12156;36876;53916;74076;94476
618;28735;12823;2943;6271;-11513;11991;39343
624;2725;1269;3557;2933;6677;14165;20197
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;732;732;732;732;732;732;732
6424;1135;1135;1135;1135;1135;1135;1135
 
5; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;0;0;0;0;0;0;0
41;768;1106;1806;2230;2900;4000;4810
43;132;144;168;192;204;228;240
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;688;1564;2278;2859;3559;5588;6549
83;56;64;80;92;104;112;124
100;3500;3640;3920;3500;3640;3920;4060
316;4224;6624;8896;11196;13196;16168;18268
612;6360;10640;12620;14640;16460;26300;30040
618;7072;12592;17996;24132;30160;45160;52160
624;3744;3996;4556;5108;5768;8268;9868
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;140;140;140;140;140;140;140
6424;55;55;55;55;55;55;55
 
6; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;0;0;0;0;0;0;0
41;1408;2464;3584;4256;5152;6016;6656
43;564;564;564;564;564;564;564
77;25;25;25;25;25;25;25
80;0;0;0;0;0;0;0
81;2067;1966;2201;2153;1783;1546;1517
83;888;1152;1152;1416;1416;1680;1680
100;940;240;660;1080;1500;1920;2340
316;19008;21120;22704;23760;23232;23760;23760
612;14062;13822;17182;19222;21022;22702;24382
618;24068;22404;20116;22404;22196;29060;34260
624;5490;4242;5490;6114;7362;7362;8818
3416;0;0;0;0;0;0;0
6412;80;80;80;80;80;80;80
6418;428;428;428;428;428;428;428
6424;0;0;0;0;0;0;0
 
7; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;21;21;21;21;21;21;21
41;16866;9982;6586;4278;1266;-994;4026
43;2724;1044;552;60;-36;264;664
77;216;216;216;216;216;216;216
80;0;0;0;0;0;0;0
81;6398;3312;3551;-98;1901;-185;5753
83;2122;2522;2870;3270;3670;4070;4470
100;3920;1680;840;1400;1400;2240;3080
316;90352;77864;56848;23688;20096;44568;69568
612;35004;-3556;-9476;-20916;-6196;36604;80604
618;65436;69660;72060;-20388;10924;58828;122540
624;47908;46516;55892;53204;53636;67428;81428
3416;1511;1511;1511;1511;1511;1511;1511
6412;0;0;0;0;0;0;0
6418;392;392;392;392;392;392;392
6424;0;0;0;0;0;0;0
 
8; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;0;0;0;0;0;0;0
41;412;1116;2044;1788;2716;3516;4444
43;469;469;469;469;469;469;469
77;10;10;10;10;10;10;10
80;0;0;0;0;0;0;0
81;1554;1642;1858;2186;2508;2868;4036
83;916;1048;1048;1180;1180;1180;1180
100;3360;3920;4480;5040;5320;5880;5880
316;19489;23553;28673;33793;36353;41473;41473
612;18201;23241;28521;33801;35721;40281;40281
618;8026;17490;26538;38706;40474;53474;53266
624;7271;8311;9559;10807;11015;12263;11431
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;448;448;448;448;448;448;448
6424;440;440;440;440;440;440;440
 
9; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;2212;2212;2212;2212;2212;2212;2212
41;9468;7858;5478;1916;402;392;3326
43;5876;6176;6476;6560;6860;7160;7460
77;76;76;76;76;76;76;76
80;0;0;0;0;0;0;0
81;4565;3039;507;21;47;1561;4227
83;7320;7520;7720;7920;8120;8320;8520
100;1680;1400;2240;3080;3920;4760;5600
316;49344;22800;26184;18120;-3144;4104;16104
612;28080;25440;20800;160;-7760;-6800;17200
618;112504;67616;51200;60600;-5504;10968;35344
624;5036;6588;2364;5580;60;988;6908
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;988;988;988;988;988;988;988
6424;780;780;780;780;780;780;780
 
10; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;2174;2174;2174;2174;2174;2174;2174
41;10008;7757;5919;2350;161;-571;2702
43;37;112;208;288;351;428;496
77;171;171;171;171;171;171;171
80;0;0;0;0;0;0;0
81;10444;7446;5087;3288;748;7;2620
83;779;899;276;437;580;751;920
100;700;-2520;-3780;-7280;-6580;-6580;-6580
316;25700;-13372;-1756;-7564;4580;18308;27812
612;6635;10115;35075;28475;28475;37595;54275
618;26885;4317;16485;-2131;14613;29485;54965
624;16068;3484;1924;572;2340;7020;12948
3416;0;0;0;0;0;0;0
6412;80;80;80;80;80;80;80
6418;728;728;728;728;728;728;728
6424;299;299;299;299;299;299;299
 
11; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;0;0;0;0;0;0;0
41;716;812;1164;2220;3120;3828;4884
43;114;354;574;754;914;1074;1274
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;1014;876;1559;1770;1957;2330;3471
83;145;235;325;385;445;505;595
100;0;0;0;0;0;0;0
316;3448;3976;4504;5560;8728;8736;14552
612;3600;11520;12960;17520;23520;31920;41520
618;1724;13188;19732;24404;32404;43116;56116
624;2872;4816;4944;-1792;208;72;3472
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;0;0;0;0;0;0;0
6424;0;0;0;0;0;0;0
 
12; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;1;1;1;1;1;1;1
41;6491;8197;3418;1988;-1319;419;1816
43;144;169;194;219;244;269;294
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;4121;5391;2828;-14;-593;2453;4082
83;108;108;108;108;108;108;108
100;1176;-924;-574;126;476;-1064;-714
316;26064;25904;22656;13520;9744;80;4224
612;25308;13188;1008;2088;-252;348;1128
618;38648;34050;8247;-2175;-8218;4864;15045
624;6106;6978;446;1110;1026;5018;7430
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;224;224;224;224;224;224;224
6424;40;120;160;240;280;360;400
 
13; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;0;0;0;0;0;0;0
41;8171;4129;4440;1090;51;715;2259
43;110;902;1694;2486;2882;3674;4466
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;5177;3400;1755;1003;429;1110;2212
83;1194;930;930;534;270;534;930
100;748;1028;1308;-1212;-932;-652;-372
316;2376;1742;3748;6335;14149;21963;26134
612;359;8759;23879;24359;33239;50039;58439
618;44969;36885;29425;18311;4819;687;5173
624;11324;2802;3432;2811;4481;10103;13018
3416;54;54;54;54;54;54;54
6412;0;0;0;0;0;0;0
6418;336;336;336;336;336;336;336
6424;-40;-40;-40;-40;-40;-40;-40
 
14; ; ; ; ; ; ; ; 
 ;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020
21;0;0;0;0;0;0;0
41;512;512;512;512;512;512;512
43;0;0;0;0;0;0;0
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;526;526;526;190;190;190;190
83;0;0;0;0;0;0;0
100;240;240;240;240;240;240;240
316;3688;3688;3688;2632;2632;2632;2632
612;3480;3480;3480;3240;3240;3240;3240
618;1352;1352;1352;-1352;-1352;-1352;-1352
624;2704;2704;2704;2704;2704;2704;2704
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;342;342;342;342;342;342;342
6424;500;500;500;500;500;500;500
 
