Articulo;UnidadesHueco;PrecioUnitario;
21;176;30
41;32;13,8
43;12;16,9
81;16;26,88
83;4;43,7
100;280;2,8
316;512;3,9068
612;240;3,6
618;200;6,8801
624;200;7,299
3416;120;2,71
6412;80;2,5

