1;;;;;;;;
6418;0;0;0;0;0;0;0;
6424;0;0;0;0;0;0;0;

9;;;;;;;;
;10/03/2019;11/03/2019;12/03/2019;13/03/2019;14/03/2019;15/03/2019;16/03/2019;
21;2212;2212;2212;2212;2212;2212;2212;
41;3868;5092;5962;6174;8178;10030;12544;
43;-296;54;354;654;954;1254;1554;
77;44;44;44;44;44;44;44;
80;0;0;0;0;0;0;0;
81;4662;4822;5910;5832;7474;9481;11812;
83;4842;4978;5214;5450;5686;6186;6686;
100;-5600;-5600;-4760;-7280;-6440;-5600;-4760;
316;24112;33840;44080;53296;60976;72240;84016;
612;40200;54600;73320;87240;99480;118680;141480;
618;101000;113300;135800;157300;172100;195800;219900;
624;10900;19500;26300;34500;39500;48100;56100;
3416;969;969;969;969;969;969;969;
6412;15920;20640;15360;20080;14800;9520;19520;
6418;368;368;368;368;368;368;368;
6424;310;310;310;310;310;310;310;

10;;;;;;;;
;10/03/2019;11/03/2019;12/03/2019;13/03/2019;14/03/2019;15/03/2019;16/03/2019;
21;2174;2174;2174;2174;2174;2174;2174;
41;10957;11741;11415;13367;16438;16364;20472;
43;446;547;728;870;961;1087;1223;
77;104;104;104;104;104;104;104;
80;0;0;0;0;0;0;0;
81;4327;6962;10535;13764;16758;17372;21038;
83;754;826;944;1078;1189;1291;1450;
100;2380;-11760;-14700;-14000;-13580;-12880;-12180;
316;36864;54016;73216;85760;98304;117504;130048;
612;16860;31980;43500;42900;44460;43980;50820;
618;83500;118600;154700;177200;199700;235200;258300;
624;18200;27200;36600;40600;46600;55600;61800;
3416;0;0;0;0;0;0;0;
6412;7440;13360;19280;25200;26800;35360;43920;
6418;1020;1020;1020;1020;1020;1020;1020;
6424;750;750;750;750;750;750;750;

11;;;;;;;;
;10/03/2019;11/03/2019;12/03/2019;13/03/2019;14/03/2019;15/03/2019;16/03/2019;
21;0;0;0;0;0;0;0;
41;736;162;580;324;324;102;1160;
43;120;360;564;744;924;1084;1288;
77;11;11;11;11;11;11;11;
80;0;0;0;0;0;0;0;
81;1104;1302;1613;2801;3761;4452;5600;
83;8;140;240;340;420;500;632;
100;0;0;0;0;0;0;0;
316;5632;3584;7680;10496;13312;17920;22016;
612;3360;4560;12600;14280;15240;23880;31920;
618;3800;3000;13500;19100;17500;29500;40500;
624;1400;-4000;-800;-100;2200;4600;7900;
3416;0;0;0;0;0;0;0;
6412;1520;3520;5120;6400;7680;9600;11600;
6418;132;132;132;132;132;132;132;
6424;100;100;100;100;100;100;100;

12;;;;;;;;
;10/03/2019;11/03/2019;12/03/2019;13/03/2019;14/03/2019;15/03/2019;16/03/2019;
21;0;0;0;0;0;0;0;
41;10712;12814;14180;15610;17712;19142;20572;
43;120;120;120;516;516;516;516;
77;0;0;0;0;0;0;0;
80;0;0;0;0;0;0;0;
81;3858;4512;4404;4138;6015;5797;6512;
83;132;264;396;528;660;792;924;
100;840;0;560;840;1120;1400;1680;
316;13560;1357;7586;7671;12023;18764;23116;
612;26256;28456;31136;36456;40176;50536;56416;
618;26630;37830;45430;58230;66230;84430;92830;
624;9830;3647;9264;14881;15631;21248;21398;
3416;0;0;0;0;0;0;0;
6412;512;4612;8712;12812;16912;21012;25112;
6418;616;616;616;616;616;616;616;
6424;600;600;600;600;600;600;600;

13;;;;;;;;
;10/03/2019;11/03/2019;12/03/2019;13/03/2019;14/03/2019;15/03/2019;16/03/2019;
21;0;0;0;0;0;0;0;
41;3872;5956;7048;9132;11216;13300;15384;
43;432;432;828;828;1224;1224;1620;
77;56;56;56;56;56;56;56;
80;0;0;0;0;0;0;0;
81;2640;2098;3092;2982;4054;5400;6698;
83;1816;2212;2476;2872;3136;3532;3796;
100;280;560;840;1120;1120;1400;1680;
316;33280;36864;40448;43008;46592;50176;57344;
612;46080;55080;60480;61560;70560;71640;84600;
618;83000;78400;85800;87200;93400;99600;117000;
624;24500;27500;29900;32900;35900;38900;43900;
3416;1927;1927;1927;1927;1927;1927;1927;
6412;7680;11200;14720;18240;18240;21760;25280;
6418;56;56;56;56;56;56;56;
6424;0;0;0;0;0;0;0;

14;;;;;;;;
