1; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;357;357;357;357;357;357;357
41;16357;8428;300;-4762;-9984;-9926;-7020
43;3128;2603;1682;761;236;107;770
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;2728;-7149;-14224;-20897;-28050;-35539;-33444
83;452;238;156;162;180;-66;84
100;4060;140;-980;-420;140;700;1260
316;36954;6696;-3498;-14220;-8574;768;10110
612;28000;-14828;-58616;-92084;-86192;-76700;-49928
618;-1309;-55129;-76293;-116385;-146493;-167033;-135365
624;36506;25416;7254;4276;1298;-1888;-82
3416;190;190;190;190;190;70;70
6412;673;673;673;673;673;673;673
6418;43;43;43;43;43;43;43
6424;1870;1870;1870;1870;1870;1870;1870
 
2; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;0;0;0;0;0;0;0
41;16008;9606;612;-3262;-9056;-10850;-7172
43;876;640;56;116;20;-76;224
77;160;160;160;160;160;160;160
80;0;0;0;0;0;0;0
81;3797;-6043;-12501;-20923;-27639;-36019;-33615
83;436;296;296;252;252;252;120
100;6290;7410;970;410;1250;2090;2930
316;36892;2848;-10013;-19115;-13031;-15923;-4559
612;14805;-25275;-42255;-75255;-84855;-86535;-64455
618;49784;-36120;-72260;-125404;-142252;-166588;-137052
624;4680;3092;-595;-6173;-4453;-10221;-9125
3416;0;0;0;0;0;0;0
6412;5;5;5;5;5;5;5
6418;128;128;128;128;128;128;128
6424;-40;-40;-40;-40;-40;-40;-40
 
3; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;792;792;792;792;792;792;792
41;6760;-1014;-2610;-5966;-10690;-11264;-5086
43;1526;246;154;458;-30;670;1370
77;26;26;26;26;26;26;26
80;0;0;0;0;0;0;0
81;708;-13203;-17591;-24571;-31077;-33420;-29155
83;-68;32;132;232;332;432;488
100;2800;2940;3080;3220;3360;3500;3640
316;46404;31704;18912;-216;-18288;-252;28344
612;20085;-12255;-28135;-56495;-96855;-92715;-59055
618;22687;-60116;-87446;-122472;-162698;-170829;-113856
624;41649;44600;44626;8252;-10442;-17267;-7244
3416;0;0;0;0;0;0;0
6412;160;160;160;160;160;160;160
6418;1674;1674;1674;1674;1674;1674;1674
6424;678;678;678;678;678;678;678
 
4; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;2380;2380;2380;2380;2380;2380;2380
41;6056;748;-3600;-9324;-11208;-7938;-6782
43;76;466;596;-66;-72;58;188
77;43;43;43;43;43;43;43
80;0;0;0;0;0;0;0
81;-5809;-11709;-18697;-24725;-28017;-28043;-24551
83;0;0;0;0;0;0;0
100;5670;6206;6742;7278;7814;8350;8886
316;12624;20304;5280;-11856;-8928;-36744;-26424
612;5344;-47216;-49616;-59216;-59696;-74096;-58976
618;-21092;-51404;-82340;-113692;-129860;-132688;-105176
624;21512;16368;16424;-576;-2600;-4804;-4748
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;336;336;336;336;336;336;336
6424;932;932;932;932;932;932;932
 
5; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;0;0;0;0;0;0;0
41;480;236;1336;1376;1956;2636;2636
43;252;322;392;452;512;572;632
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;448;664;1072;1504;1868;2132;2132
83;4;4;4;4;14;14;14
100;1120;1260;1260;-840;-840;-700;-700
316;3072;6572;8916;12416;15816;18260;18260
612;7080;3320;5980;5580;3540;1400;-1960
618;7696;9108;16344;20152;23128;25372;25372
624;2704;676;212;-2648;-4360;-6804;-6804
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;224;224;224;224;224;224;224
6424;120;120;120;120;120;120;120
 
6; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;0;0;0;0;0;0;0
41;1440;2272;3296;4000;4256;4512;4896
43;0;0;0;0;0;0;0
77;77;77;77;77;77;77;77
80;0;0;0;0;0;0;0
81;3362;1602;738;-1406;-1534;-2206;-3678
83;0;0;0;0;0;0;0
100;1960;2520;3080;3640;4060;4480;4480
316;12144;1968;-2928;-4656;-10064;-9104;-14384
612;15820;11980;15820;16660;18940;21100;15340
618;33521;20817;3121;-4759;-11807;-6127;-21103
624;8740;21748;36836;52004;67172;80756;79924
3416;0;0;0;0;0;0;0
6412;80;80;80;80;80;80;80
6418;206;206;206;206;206;206;206
6424;448;448;448;448;448;448;448
 
7; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;21;21;21;21;21;21;21
41;16574;8635;3704;-3786;-7661;-8240;-7891
43;996;816;240;456;-516;96;708
77;216;216;216;216;216;216;216
80;0;0;0;0;0;0;0
81;-4189;-16640;-21795;-26053;-30488;-34027;-36110
83;4929;3555;2181;1203;-39;-225;117
100;3025;959;1693;2427;3161;4262;5363
316;135908;78136;16140;-11008;-16508;1114;28240
612;177684;49404;2724;-56436;-122076;-104016;-54276
618;95430;-4532;-75790;-132488;-227250;-208089;-127776
624;-13116;-50712;-58148;-58512;-53468;-43510;-28560
3416;946;946;946;946;946;946;946
6412;0;0;0;0;0;0;0
6418;-1232;-1232;-1232;-1232;-1232;-1232;-1232
6424;80;80;80;80;80;80;80
 
8; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;0;0;0;0;0;0;0
41;2220;1356;2220;524;364;268;1132
43;2374;2374;2374;2704;2704;2704;2704
77;8;8;8;8;8;8;8
80;0;0;0;0;0;0;0
81;1922;1357;1176;835;211;-802;302
83;182;314;314;446;446;578;578
100;1260;-420;140;700;980;1540;1540
316;9527;12695;8471;13751;15335;20615;20615
612;7089;8529;9009;10929;10689;12129;12129
618;5406;16118;22254;32966;31198;40662;40246
624;12293;12917;13957;14581;14477;14685;13437
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;276;276;276;276;276;276;276
6424;280;280;280;280;280;280;280
 
9; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;2212;2212;2212;2212;2212;2212;2212
41;8988;5424;1838;-4148;-10390;-9592;-7930
43;1252;1279;514;-431;-800;19;838
77;41;41;41;41;41;41;41
80;0;0;0;0;0;0;0
81;-2471;-12407;-16623;-23959;-28431;-28343;-24335
83;14023;13240;12589;10994;10275;10680;11217
100;-2241;-1457;-673;111;895;1679;2071
316;35982;35780;13930;9504;-4954;652;6623
612;44220;19980;-7140;-48180;-78180;-93300;-80340
618;-2466;-43552;-71118;-123228;-134986;-141544;-128599
624;4168;-874;-7996;-7630;-18496;-17298;-16699
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;252;252;252;252;252;252;252
6424;705;705;705;705;705;705;705
 
10; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;2174;2174;2174;2174;2174;2174;2174
41;10004;5352;2300;-4880;-6780;-11364;-7472
