1; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;357;357;357;357;357;357;357
41;13957;8812;972;-2138;-7712;-9030;-6124
43;3128;2603;1490;173;44;-85;578
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;1800;-7181;-14704;-21889;-29666;-36499;-34196
83;320;238;288;206;224;110;260
100;4060;140;-980;-420;140;700;1260
316;29562;-22344;-15642;-20028;-15966;-8736;606
612;8560;-51068;-76616;-88724;-81872;-82700;-51128
618;-61;-50345;-95221;-116593;-146077;-166825;-135157
624;27770;13352;-3146;-6124;-6398;-12912;-11106
3416;190;190;190;190;190;70;70
6412;673;673;673;673;673;673;673
6418;43;43;43;43;43;43;43
6424;1870;1870;1870;1870;1870;1870;1870
 
2; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;0;0;0;0;0;0;0
41;18952;13414;4420;2114;-4832;-9794;-6116
43;876;880;1280;152;56;-40;260
77;160;160;160;160;160;160;160
80;0;0;0;0;0;0;0
81;3797;-7627;-13077;-21387;-28503;-35395;-33327
83;436;428;296;296;296;228;228
100;6290;7410;970;410;1250;2090;2930
316;44284;10768;5299;-4859;-887;-16979;-5615
612;19845;-34395;-56415;-78135;-83175;-79095;-65415
618;51448;-31336;-89940;-131644;-144540;-161596;-137884
624;4056;1636;-1427;-557;-6949;-8141;-10165
3416;0;0;0;0;0;0;0
6412;5;5;5;5;5;5;5
6418;128;128;128;128;128;128;128
6424;-40;-40;-40;-40;-40;-40;-40
 
3; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;792;792;792;792;792;792;792
41;5896;-3318;-4274;-5134;-9474;-7936;-1758
43;1286;798;310;-178;-666;34;734
77;26;26;26;26;26;26;26
80;0;0;0;0;0;0;0
81;2276;-11603;-17399;-23403;-31173;-33340;-29219
83;-68;32;88;188;288;388;444
100;2800;2940;3080;3220;3360;3500;3640
316;48516;28536;6768;-2856;-15120;5556;33624
612;26085;-3855;-33895;-62735;-94695;-93675;-63375
618;18943;-22052;-76422;-98344;-176426;-176861;-120096
624;42481;40024;37554;-2980;-13770;-15187;-6828
3416;0;0;0;0;0;0;0
6412;160;160;160;160;160;160;160
6418;1674;1674;1674;1674;1674;1674;1674
6424;678;678;678;678;678;678;678
 
4; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;2380;2380;2380;2380;2380;2380;2380
41;10056;6924;3696;-5356;-9352;-7042;-6238
43;232;622;356;-90;-96;34;164
77;43;43;43;43;43;43;43
80;0;0;0;0;0;0;0
81;-4945;-12269;-18121;-26181;-28577;-28203;-24535
83;0;0;0;-20;-20;-20;-20
100;5670;6206;6742;7278;7814;8350;8886
316;23712;11856;-8448;-14496;-11568;-21960;-11640
612;21184;-18896;-32576;-67616;-76496;-72896;-64976
618;4284;-38716;-87332;-133036;-152532;-138720;-111208
624;20472;15536;2488;-12640;-15704;-14788;-8492
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;336;336;336;336;336;336;336
6424;932;932;932;932;932;932;932
 
5; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;0;0;0;0;0;0;0
41;480;236;1336;1376;1956;2636;2636
43;252;322;392;452;512;572;632
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;448;664;1072;1504;1868;2132;2132
83;4;4;4;4;14;14;14
100;1120;1260;1260;-840;-840;-700;-700
316;3072;6572;8916;12416;15816;18260;18260
612;7080;3320;5980;5580;3540;1400;-1960
618;7696;9108;16344;20152;23128;25372;25372
624;2704;676;212;-2648;-4360;-6804;-6804
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;224;224;224;224;224;224;224
6424;120;120;120;120;120;120;120
 
6; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;0;0;0;0;0;0;0
41;1440;2272;3296;4000;4256;4512;4896
43;0;0;0;0;0;0;0
77;77;77;77;77;77;77;77
80;0;0;0;0;0;0;0
81;3362;1602;738;-1406;-1534;-2206;-3678
83;0;0;0;0;0;0;0
100;1960;2520;3080;3640;4060;4480;4480
316;12144;1968;-2928;-4656;-10064;-9104;-14384
612;15820;11980;15820;16660;18940;21100;15340
618;33521;20817;3121;-4759;-11807;-6127;-21103
624;8740;21748;36836;52004;67172;80756;79924
3416;0;0;0;0;0;0;0
6412;80;80;80;80;80;80;80
6418;206;206;206;206;206;206;206
6424;448;448;448;448;448;448;448
 
7; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;21;21;21;21;21;21;21
41;8542;-677;-9320;-20138;-25421;-24944;-19315
43;996;816;636;456;-516;96;708
77;216;216;216;216;216;216;216
80;0;0;0;0;0;0;0
81;-4605;-15536;-21235;-23621;-30424;-33739;-35822
83;5193;4347;3633;1335;93;39;381
100;3025;959;1693;2427;3161;4262;5363
316;146996;87640;11388;-8896;-31292;-14726;12400
612;137604;10284;-15276;-72516;-145356;-119616;-69876
618;124550;41436;-76622;-144968;-237026;-208921;-128608
624;-16028;-40936;-44836;-47488;-47228;-34774;-19824
3416;946;946;946;946;946;946;946
6412;0;0;0;0;0;0;0
6418;-1232;-1232;-1232;-1232;-1232;-1232;-1232
6424;80;80;80;80;80;80;80
 
8; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;0;0;0;0;0;0;0
41;2220;1356;2220;524;364;268;1132
43;2374;2374;2374;2704;2704;2704;2704
77;8;8;8;8;8;8;8
80;0;0;0;0;0;0;0
81;1922;1357;1176;835;211;-802;302
83;182;314;314;446;446;578;578
100;1260;-420;140;700;980;1540;1540
316;9527;12695;8471;13751;15335;20615;20615
612;7089;8529;9009;10929;10689;12129;12129
618;5406;16118;22254;32966;31198;40662;40246
624;12293;12917;13957;14581;14477;14685;13437
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;276;276;276;276;276;276;276
6424;280;280;280;280;280;280;280
 
9; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;2212;2212;2212;2212;2212;2212;2212
41;10108;6160;1838;-1460;-6806;-8120;-6458
43;856;91;-278;-431;-8;811;1630
77;41;41;41;41;41;41;41
80;0;0;0;0;0;0;0
81;-1495;-11847;-17887;-24855;-29359;-29911;-25903
83;13099;11656;10345;9806;9351;9888;10425
100;-2241;-1457;-673;111;895;1679;2071
316;33870;11492;7066;-2640;-4426;9628;15599
612;49740;-900;-16500;-79380;-110580;-102660;-89700
618;-25970;-59776;-93582;-127596;-123130;-133640;-120695
624;3752;-3370;-6332;-18446;-20576;-23538;-22939
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;252;252;252;252;252;252;252
6424;705;705;705;705;705;705;705
 
10; ; ; ; ; ; ; ; 
 ;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020
21;2174;2174;2174;2174;2174;2174;2174
41;10516;5512;1276;-2576;-5404;-8932;-6448
43;516;216;312;408;-288;204;696
77;108;108;108;108;108;108;108
80;0;0;0;0;0;0;0
