1; ; ; ; ; ; ; ; 
 ;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020
21;357;357;357;357;357;357;357
41;608;-5730;-8654;-10426;-15174;-18290;-13738
43;1514;288;-98;-46;-738;-686;-586
77;4;4;4;4;4;4;4
80;0;0;0;0;0;0;0
81;4175;-5070;-12651;-19320;-23605;-30769;-27885
83;2230;1580;958;542;74;70;170
100;5132;2752;372;232;92;372;652
316;50624;-7424;-16368;-15280;-32144;-18384;-9376
612;28236;-7298;-66592;-88446;-88940;-67594;-41688
618;10384;-54376;-62352;-99864;-126768;-140984;-98416
624;34392;19022;-2380;-16502;-17728;-15002;-9572
3416;190;190;190;190;190;190;190
6412;673;673;673;673;673;673;673
6418;729;729;729;729;729;729;729
6424;3040;3040;3040;3040;3040;3040;3040
 
2; ; ; ; ; ; ; ; 
 ;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020
21;0;0;0;0;0;0;0
41;5263;-4573;-11561;-13557;-19521;-17325;-16485
43;868;376;-116;-608;-1200;-1072;-872
77;269;269;269;269;269;269;269
80;0;0;0;0;0;0;0
81;-269;-6345;-11581;-17001;-22621;-28057;-29661
83;367;355;351;295;291;167;163
100;3630;4470;-710;-2670;-2250;-1410;-570
316;49160;26840;1952;-1888;-24136;-26392;-10696
612;61950;1382;-22302;-27430;-100074;-85282;-64250
618;71773;-8611;-57331;-83427;-116339;-137027;-96355
624;1871;-97;-6801;-4609;-17345;-15777;-8801
3416;0;0;0;0;0;0;0
6412;5;5;5;5;5;5;5
6418;200;200;200;200;200;200;200
6424;340;340;340;340;340;340;340
 
3; ; ; ; ; ; ; ; 
 ;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020
21;792;792;792;792;792;792;792
41;-631;-13550;-15265;-14360;-22076;-19475;-12330
43;1112;724;732;1136;-1232;-1308;-508
77;26;26;26;26;26;26;26
80;0;0;0;0;0;0;0
81;-701;-4553;-13115;-18471;-26645;-30961;-26429
83;982;796;874;556;-26;316;658
100;4106;4769;5432;6095;6758;7421;8084
316;30415;-1703;-3931;-24961;-48837;-26043;-81
612;49696;8380;-55004;-63440;-83624;-88220;-55376
618;47023;-9643;-78343;-81345;-157325;-151383;-85953
624;36445;24988;6534;-3467;-9649;-19650;-4899
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;3830;3830;3830;2150;2150;2150;2150
6424;2911;2911;2911;1711;1711;1711;1711
 
4; ; ; ; ; ; ; ; 
 ;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020
21;2380;2380;2380;2380;2380;2380;2380
41;-2710;-5690;-7102;-14466;-17414;-16170;-13166
43;2564;792;-94;-980;-1564;-1262;-658
77;43;43;43;43;43;43;43
80;0;0;0;0;0;0;0
81;-5068;-9127;-14402;-21853;-24056;-24563;-21598
83;190;216;242;268;294;320;346
100;2436;-308;308;924;1540;2156;2772
316;-14688;-7252;-1400;7092;-10816;-17636;-7560
612;37484;-19752;-18428;-64384;-73620;-68696;-55612
618;21444;1484;-41356;-103124;-128076;-124532;-98108
624;3808;-100;-15032;-20604;-18480;-14276;-11736
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;-398;-678;-678;-678;-678;-678;-678
6424;90;-30;-30;-30;-30;-30;-30
 
5; ; ; ; ; ; ; ; 
 ;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020
21;0;0;0;0;0;0;0
41;256;-1584;-384;-1236;-756;-1132;-2188
43;414;474;534;594;654;714;774
77;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0
81;320;670;566;75;772;573;-195
83;414;414;422;422;422;430;430
100;560;700;840;-1260;-1120;-980;-980
316;3168;5612;8156;7432;8292;7212;2988
612;120;-3280;-5000;-13820;-16840;-18020;-25460
618;728;-1712;-5184;-6376;-6728;-8752;-12080
624;208;-288;1712;-864;-1984;-4144;-6224
3416;0;0;0;0;0;0;0
6412;0;0;0;0;0;0;0
6418;204;204;204;204;204;204;204
6424;242;242;242;242;242;242;242
 
