1; ; ; ; ; ; ; ; 
 ;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020
21;357;357;357;357;357;357;357
41;96;-6338;-8526;-13722;-18342;-19186;-14634
43;1514;288;-98;-46;-738;-686;-586
77;4;4;4;4;4;4;4
80;0;0;0;0;0;0;0
81;4783;-4254;-13355;-19752;-23781;-30737;-27853
83;2230;1580;1010;990;854;58;158
100;5132;2752;372;232;92;372;652
316;30560;-23792;-16896;-19504;-18944;-5184;3824
612;61596;-22178;-73552;-79566;-88700;-75274;-57288
618;25984;-38776;-64016;-106936;-130720;-138072;-95504
624;34392;16110;-2588;-18582;-23136;-17290;-11860
3416;190;190;190;190;190;190;190
6412;673;673;673;673;673;673;673
6418;729;729;729;729;729;729;729
6424;3040;3040;3040;3040;3040;3040;3040
 
2; ; ; ; ; ; ; ; 
 ;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020
21;0;0;0;0;0;0;0
41;4207;-5629;-12617;-14613;-18753;-17613;-16773
43;868;376;-116;-608;-1200;-1072;-872
77;269;269;269;269;269;269;269
80;0;0;0;0;0;0;0
81;-317;-7289;-12317;-17177;-22621;-27481;-29085
83;367;355;299;243;239;115;111
100;3630;4470;-710;-2670;-2250;-1410;-570
316;10616;19976;-3856;-2416;-27304;-18472;-2776
612;31470;-4618;-31422;-39670;-89274;-74482;-45530
618;66989;-4867;-52547;-78435;-115715;-134947;-94275
624;831;2607;-2849;-657;-14641;-12657;-5681
3416;0;0;0;0;0;0;0
6412;5;5;5;5;5;5;5
6418;200;200;200;200;200;200;200
6424;340;340;340;340;340;340;340
 
3; ; ; ; ; ; ; ; 
 ;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020
21;792;792;792;792;792;792;792
41;2089;-9326;-14561;-16600;-22268;-20723;-13578
43;1112;724;732;1136;-1232;-1308;-508
77;26;26;26;26;26;26;26
80;0;0;0;0;0;0;0
81;179;-4409;-13563;-19623;-29301;-31873;-27341
83;850;796;346;28;106;448;790
100;4106;4769;5432;6095;6758;7421;8084
316;39919;15721;-2875;-25489;-43029;-20235;5727
612;41536;11500;-56684;-70640;-87704;-91820;-58976
618;56591;-26907;-77927;-95281;-166685;-150551;-85121
